,year,erf
818,1818.166667,-0.555290307
819,1818.25,-0.485833661
820,1818.333333,-0.422364559
821,1818.416667,-0.364373778
822,1818.5,-0.311393668
823,1818.583333,-0.262995353
824,1818.666667,-0.218785686
825,1818.75,-0.178404633
826,1818.833333,-0.141522356
827,1818.916667,-0.107837184
828,1819.0,-0.07707308
829,1819.083333,-0.048977624
830,1819.166667,-0.02331996
831,1819.25,0.00011093
832,1819.333333,0.021507917
833,1819.416667,0.041047191
834,1819.5,0.058889805
835,1819.583333,0.075182895
836,1819.666667,0.090060903
837,1819.75,0.103646623
838,1819.833333,0.11605224
839,1819.916667,0.12738017
840,1820.0,0.137723972
841,1820.083333,0.147169113
842,1820.166667,0.155793656
843,1820.25,0.163668889
844,1820.333333,0.170859884
845,1820.416667,0.177426051
846,1820.5,0.183421658
847,1820.583333,0.188896298
848,1820.666667,0.193895228
849,1820.75,0.198459793
850,1820.833333,0.202627738
851,1820.916667,0.206433487
852,1821.0,0.209908519
853,1821.083333,0.213081571
854,1821.166667,0.215978909
855,1821.25,0.218624493
856,1821.333333,0.221040198
857,1821.416667,0.223245978
858,1821.5,0.225260059
859,1821.583333,0.227099112
860,1821.666667,0.22877836
861,1821.75,0.230311696
862,1821.833333,0.231711793
863,1821.916667,0.232990218
864,1822.0,0.234157532
865,1822.083333,0.11072235
866,1822.166667,0.026267147
867,1822.25,-0.029004049
868,1822.333333,-0.062583675
869,1822.416667,-0.080188633
870,1822.5,-0.086170073
871,1822.583333,-0.083829519
872,1822.666667,-0.07566203
873,1822.75,-0.063543437
874,1822.833333,-0.048875059
875,1822.916667,-0.032695888
876,1823.0,-0.01576932
877,1823.083333,0.001350831
878,1823.166667,0.018269633
879,1823.25,0.034712379
880,1823.333333,0.050494612
881,1823.416667,0.06549926
882,1823.5,0.079659048
883,1823.583333,0.092943104
884,1823.666667,0.105346944
885,1823.75,0.116884791
886,1823.833333,0.127583827
887,1823.916667,0.13747977
888,1824.0,0.146613658
889,1824.083333,0.155029509
890,1824.166667,0.162772551
891,1824.25,0.169887946
892,1824.333333,0.176419986
893,1824.416667,0.182411373
894,1824.5,0.187902956
895,1824.583333,0.192933429
896,1824.666667,0.197539218
897,1824.75,0.201754398
898,1824.833333,0.205610741
899,1824.916667,0.209137729
900,1825.0,0.212362653
901,1825.083333,0.215310773
902,1825.166667,0.218005372
903,1825.25,0.22046789
904,1825.333333,0.222718021
905,1825.416667,0.224773836
906,1825.5,0.226651929
907,1825.583333,0.228367541
908,1825.666667,0.229934637
909,1825.75,0.231366002
910,1825.833333,0.232673334
911,1825.916667,0.233867309
912,1826.0,0.234957714
913,1826.083333,0.235953521
914,1826.166667,0.236862907
915,1826.25,0.237693394
916,1826.333333,0.238451795
917,1826.416667,0.239144348
918,1826.5,0.239776735
919,1826.583333,0.240354191
920,1826.666667,0.240881499
921,1826.75,0.241363017
922,1826.833333,0.241802719
923,1826.916667,0.242204218
924,1827.0,0.24257081
925,1827.083333,0.242905546
926,1827.166667,0.243211206
927,1827.25,0.243490334
928,1827.333333,0.243745217
929,1827.416667,0.243977949
930,1827.5,0.244190439
931,1827.583333,0.244384461
932,1827.666667,0.244561623
933,1827.75,0.244723407
934,1827.833333,0.244871149
935,1827.916667,0.245006041
936,1828.0,0.245129189
937,1828.083333,0.245241622
938,1828.166667,0.245344296
939,1828.25,0.245438067
940,1828.333333,0.245523708
941,1828.416667,0.245601901
942,1828.5,0.245673278
943,1828.583333,0.245738441
944,1828.666667,0.245797948
945,1828.75,0.245852297
946,1828.833333,0.245901937
947,1828.916667,0.245947257
948,1829.0,0.245988615
949,1829.083333,0.246026367
950,1829.166667,0.246060851
951,1829.25,0.246092353
952,1829.333333,0.246121136
953,1829.416667,0.246147411
954,1829.5,0.246171385
955,1829.583333,0.24619326
956,1829.666667,0.246213242
957,1829.75,0.246231505
958,1829.833333,0.246248192
959,1829.916667,0.246263421
960,1830.0,0.246277307
961,1830.083333,0.246289976
962,1830.166667,0.24630155
963,1830.25,0.246312141
964,1830.333333,0.246321827
965,1830.416667,0.24633066
966,1830.5,0.246338713
967,1830.583333,0.246346048
968,1830.666667,0.246352754
969,1830.75,0.246358891
970,1830.833333,0.24636451
971,1830.916667,0.246369628
972,1831.0,0.246374226
973,1831.083333,-1.565009441
974,1831.166667,-2.777915494
975,1831.25,-3.49515892
976,1831.333333,-3.918454885
977,1831.416667,-4.139655308
978,1831.5,-4.227149966
979,1831.583333,-4.232719638
980,1831.666667,-4.188862398
981,1831.75,-4.103207642
982,1831.833333,-3.96377811
983,1831.916667,-3.748469328
984,1832.0,-3.507988246
985,1832.083333,-3.264165165
986,1832.166667,-3.022798822
987,1832.25,-2.787934269
988,1832.333333,-2.562297011
989,1832.416667,-2.347626544
990,1832.5,-2.145039324
991,1832.583333,-1.954844969
992,1832.666667,-1.777157329
993,1832.75,-1.611809115
